2025-02-13 05:50:14 status half-installed libacl1:amd64 2.2.53-10
2025-02-13 05:50:14 status unpacked libacl1:amd64 2.2.53-10
2025-02-13 05:50:14 upgrade dpkg:amd64 1.20.12 1.20.12
2025-02-13 05:50:14 status half-configured dpkg:amd64 1.20.12
2025-02-13 05:50:14 status unpacked dpkg:amd64 1.20.12
2025-02-13 05:50:14 status half-installed dpkg:amd64 1.20.12
2025-02-13 05:50:14 status unpacked dpkg:amd64 1.20.12
2025-02-13 05:50:14 upgrade debconf:all 1.5.77 1.5.77
2025-02-13 05:50:14 status half-configured debconf:all 1.5.77
2025-02-13 05:50:14 status unpacked debconf:all 1.5.77
2025-02-13 05:50:14 status half-installed debconf:all 1.5.77
2025-02-13 05:50:14 status unpacked debconf:all 1.5.77
2025-02-13 05:50:14 install libkrb5-3:amd64 <none> 1.18.3-6+deb11u3
2025-02-13 05:50:14 status half-installed libkrb5-3:amd64 1.18.3-6+deb11u3
2025-02-13 05:50:14 status unpacked libkrb5-3:amd64 1.18.3-6+deb11u3
2025-02-13 05:50:15 install libgssapi-krb5-2:amd64 <none> 1.18.3-6+deb11u3
2025-02-13 05:50:15 status half-installed libgssapi-krb5-2:amd64 1.18.3-6+deb11u3
2025-02-13 05:50:15 status unpacked libgssapi-krb5-2:amd64 1.18.3-6+deb11u3
2025-02-13 05:50:15 install libnsl2:amd64 <none> 1.3.0-2
2025-02-13 05:50:15 status half-installed libnsl2:amd64 1.3.0-2
2025-02-13 05:50:15 status unpacked libnsl2:amd64 1.3.0-2
2025-02-13 05:50:15 install libaudit-common:all <none> 1:3.0-2
2025-02-13 05:50:15 status half-installed libaudit-common:all 1:3.0-2
2025-02-13 05:50:15 status unpacked libaudit-common:all 1:3.0-2
2025-02-13 05:50:15 install libcap-ng0:amd64 <none> 0.7.9-2.2+b1
2025-02-13 05:50:15 status half-installed libcap-ng0:amd64 0.7.9-2.2+b1
2025-02-13 05:50:15 status unpacked libcap-ng0:amd64 0.7.9-2.2+b1
2025-02-13 05:50:15 install libaudit1:amd64 <none> 1:3.0-2
2025-02-13 05:50:15 status half-installed libaudit1:amd64 1:3.0-2
2025-02-13 05:50:15 status unpacked libaudit1:amd64 1:3.0-2
2025-02-13 05:50:15 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.8
2025-02-13 05:50:15 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.8
2025-02-13 05:50:15 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8
2025-02-13 05:50:15 install libpam-modules:amd64 <none> 1.4.0-9+deb11u1
2025-02-13 05:50:15 status half-installed libpam-modules:amd64 1.4.0-9+deb11u1
2025-02-13 05:50:15 status unpacked libpam-modules:amd64 1.4.0-9+deb11u1
2025-02-13 05:50:15 install adduser:all <none> 3.118
2025-02-13 05:50:15 status half-installed adduser:all 3.118
2025-02-13 05:50:15 status unpacked adduser:all 3.118
2025-02-13 05:50:15 install libgpg-error0:amd64 <none> 1.38-2
2025-02-13 05:50:15 status half-installed libgpg-error0:amd64 1.38-2
2025-02-13 05:50:15 status unpacked libgpg-error0:amd64 1.38-2
2025-02-13 05:50:15 install libgcrypt20:amd64 <none> 1.8.7-6
2025-02-13 05:50:15 status half-installed libgcrypt20:amd64 1.8.7-6
2025-02-13 05:50:15 status unpacked libgcrypt20:amd64 1.8.7-6
2025-02-13 05:50:15 install gpgv:amd64 <none> 2.2.27-2+deb11u2
2025-02-13 05:50:15 status half-installed gpgv:amd64 2.2.27-2+deb11u2
2025-02-13 05:50:15 status unpacked gpgv:amd64 2.2.27-2+deb11u2
2025-02-13 05:50:15 install liblz4-1:amd64 <none> 1.9.3-2
2025-02-13 05:50:15 status half-installed liblz4-1:amd64 1.9.3-2
2025-02-13 05:50:15 status unpacked liblz4-1:amd64 1.9.3-2
2025-02-13 05:50:15 install libapt-pkg6.0:amd64 <none> 2.2.4
2025-02-13 05:50:15 status half-installed libapt-pkg6.0:amd64 2.2.4
2025-02-13 05:50:15 status unpacked libapt-pkg6.0:amd64 2.2.4
2025-02-13 05:50:15 install debian-archive-keyring:all <none> 2021.1.1
2025-02-13 05:50:15 status half-installed debian-archive-keyring:all 2021.1.1
2025-02-13 05:50:15 status unpacked debian-archive-keyring:all 2021.1.1
2025-02-13 05:50:15 install libgmp10:amd64 <none> 2:6.2.1+dfsg-1+deb11u1
2025-02-13 05:50:15 status half-installed libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
2025-02-13 05:50:15 status unpacked libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
2025-02-13 05:50:15 install libnettle8:amd64 <none> 3.7.3-1
2025-02-13 05:50:15 status half-installed libnettle8:amd64 3.7.3-1
2025-02-13 05:50:15 status unpacked libnettle8:amd64 3.7.3-1
2025-02-13 05:50:15 install libhogweed6:amd64 <none> 3.7.3-1
2025-02-13 05:50:15 status half-installed libhogweed6:amd64 3.7.3-1
2025-02-13 05:50:15 status unpacked libhogweed6:amd64 3.7.3-1
2025-02-13 05:50:15 install libffi7:amd64 <none> 3.3-6
2025-02-13 05:50:15 status half-installed libffi7:amd64 3.3-6
2025-02-13 05:50:15 status unpacked libffi7:amd64 3.3-6
2025-02-13 05:50:15 install libp11-kit0:amd64 <none> 0.23.22-1
2025-02-13 05:50:15 status half-installed libp11-kit0:amd64 0.23.22-1
2025-02-13 05:50:16 status unpacked libp11-kit0:amd64 0.23.22-1
2025-02-13 05:50:16 install libgnutls30:amd64 <none> 3.7.1-5+deb11u2
2025-02-13 05:50:16 status half-installed libgnutls30:amd64 3.7.1-5+deb11u2
2025-02-13 05:50:16 status unpacked libgnutls30:amd64 3.7.1-5+deb11u2
2025-02-13 05:50:16 install apt:amd64 <none> 2.2.4
2025-02-13 05:50:16 status half-installed apt:amd64 2.2.4
2025-02-13 05:50:16 status unpacked apt:amd64 2.2.4
2025-02-13 05:50:16 upgrade base-files:amd64 11.1+deb11u6 11.1+deb11u6
